"GW"|"No "|"35124909"|"66588146"
"SP"|"No "|"35124909"|"66588147"
"SW"|"No "|"35124909"|"66588148"
"SM"|"Yes"|"35124910"|"66588149"
"SP-SM"|"No "|"35124910"|"66588150"
"GM"|"No "|"35124910"|"66588151"
"GP-GM"|"No "|"35124910"|"66588152"
"GM"|"No "|"35124911"|"66588153"
"GW-GM"|"No "|"35124911"|"66588154"
"SM"|"Yes"|"35124911"|"66588155"
"GM"|"No "|"35124912"|"66588156"
"GW"|"No "|"35124912"|"66588157"
"SP-SM"|"No "|"35124912"|"66588158"
"SP"|"Yes"|"35124912"|"66588159"
"PT"|"Yes"|"35124913"|"66588160"
"SM"|"Yes"|"35124914"|"66588161"
"SP-SM"|"No "|"35124914"|"66588162"
"SM"|"Yes"|"35124915"|"66588163"
"SP-SM"|"No "|"35124915"|"66588164"
"SM"|"Yes"|"35124916"|"66588165"
"SP-SM"|"No "|"35124916"|"66588166"
"SM"|"No "|"35124917"|"66588167"
"SP-SM"|"Yes"|"35124917"|"66588168"
"SW-SM"|"No "|"35124917"|"66588169"
"SM"|"No "|"35124918"|"66588170"
"SP-SM"|"Yes"|"35124918"|"66588171"
"SW-SM"|"No "|"35124918"|"66588172"
"ML"|"No "|"35124919"|"66588173"
"SM"|"No "|"35124919"|"66588174"
"SC-SM"|"Yes"|"35124919"|"66588175"
"ML"|"No "|"35124920"|"66588176"
"SM"|"No "|"35124920"|"66588177"
"SC-SM"|"Yes"|"35124920"|"66588178"
"ML"|"No "|"35124921"|"66588179"
"SM"|"No "|"35124921"|"66588180"
"SC-SM"|"Yes"|"35124921"|"66588181"
"SM"|"No "|"35124922"|"66588182"
"SP-SM"|"No "|"35124922"|"66588183"
"SW-SM"|"No "|"35124922"|"66588184"
"SW-SC"|"Yes"|"35124922"|"66588185"
"PT"|"Yes"|"35124923"|"66588186"
"PT"|"Yes"|"35124924"|"66588187"
"SM"|"Yes"|"35124925"|"66588188"
"SP-SM"|"No "|"35124925"|"66588189"
"SM"|"Yes"|"35124926"|"66588190"
"SP-SM"|"No "|"35124926"|"66588191"
"SM"|"Yes"|"35124927"|"66588192"
"SP-SM"|"No "|"35124927"|"66588193"
"SM"|"No "|"35124928"|"66588194"
"SP-SM"|"Yes"|"35124928"|"66588195"
"SW-SM"|"No "|"35124928"|"66588196"
"SM"|"No "|"35124929"|"66588197"
"SP-SM"|"Yes"|"35124929"|"66588198"
"SW-SM"|"No "|"35124929"|"66588199"
"SM"|"Yes"|"35124930"|"66588200"
"SP-SM"|"No "|"35124930"|"66588201"
"GM"|"No "|"35124930"|"66588202"
"GP-GM"|"No "|"35124930"|"66588203"
"GM"|"No "|"35124931"|"66588204"
"GW-GM"|"No "|"35124931"|"66588205"
"SM"|"Yes"|"35124931"|"66588206"
"GM"|"No "|"35124932"|"66588207"
"GW"|"No "|"35124932"|"66588208"
"SP-SM"|"No "|"35124932"|"66588209"
"SP"|"Yes"|"35124932"|"66588210"
"GP"|"Yes"|"35124933"|"66588211"
"GW"|"No "|"35124933"|"66588212"
"SP"|"No "|"35124933"|"66588213"
"SW"|"No "|"35124933"|"66588214"
"PT"|"Yes"|"35124934"|"66588215"
"ML"|"No "|"35124935"|"66588216"
"SM"|"No "|"35124935"|"66588217"
"SC-SM"|"Yes"|"35124935"|"66588218"
"ML"|"No "|"35124936"|"66588219"
"SM"|"No "|"35124936"|"66588220"
"SC-SM"|"Yes"|"35124936"|"66588221"
"ML"|"No "|"35124937"|"66588222"
"SM"|"No "|"35124937"|"66588223"
"SC-SM"|"Yes"|"35124937"|"66588224"
"SM"|"No "|"35124938"|"66588225"
"SP-SM"|"No "|"35124938"|"66588226"
"SW-SM"|"No "|"35124938"|"66588227"
"SW-SC"|"Yes"|"35124938"|"66588228"
"SM"|"Yes"|"35124939"|"66588229"
"SP-SM"|"No "|"35124939"|"66588230"
"SM"|"Yes"|"35124940"|"66588231"
"SP-SM"|"No "|"35124940"|"66588232"
"SM"|"No "|"35124941"|"66588233"
"SP-SM"|"Yes"|"35124941"|"66588234"
"SW-SM"|"No "|"35124941"|"66588235"
"SM"|"No "|"35124942"|"66588236"
"SP-SM"|"Yes"|"35124942"|"66588237"
"SW-SM"|"No "|"35124942"|"66588238"
"PT"|"Yes"|"35124943"|"66588239"
"SM"|"Yes"|"35124944"|"66588240"
"SP-SM"|"No "|"35124944"|"66588241"
"SM"|"Yes"|"35124945"|"66588242"
"SP-SM"|"No "|"35124945"|"66588243"
"GM"|"No "|"35124945"|"66588244"
"GP-GM"|"No "|"35124945"|"66588245"
"GM"|"No "|"35124946"|"66588246"
"GW-GM"|"No "|"35124946"|"66588247"
"SM"|"Yes"|"35124946"|"66588248"
"GM"|"No "|"35124947"|"66588249"
"GW"|"No "|"35124947"|"66588250"
"SP-SM"|"No "|"35124947"|"66588251"
"SP"|"Yes"|"35124947"|"66588252"
