"H2"||"H"||2||30|||86|||||0|0|0|0|0|0|85|100|100|75|100|100|45|90|95|25|60|75|32|45|85||4.5|||6.1|||8|||13.8|||12.6||0|43|50|||||||0|12|17||||0|1|2||||1.15|1.3|1.45|||||1.36|||4|23|42|0.12|0.17|0.22|||||23.3|||7.5|||48||0|1.5|2.9|0|7.5|15|0|2|4|0|0|0|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|0|6.5|9.2|||||||4.5|5.6|7.3|||||||||||||||||||||||||||||||||"12297329"|"35124842"
"C"||"C"||||86|||99|||||0|0|0|0|0|0|55|100|100|45|100|100|30|90|90|15|60|75|32|45|85||4.5|||6.1|||8|||13.8|||12.6||0|43|50|||||||0|12|17||||0|0.5|1||||1.3|1.3|1.5|||||1.36|||4|23|42|0.1|0.12|0.16|||||22.6|||6.9|||48||0|1.5|2.9|0|7|14|0|0|0|0|0|0|".43"|".43"|0|0|0|0|0|0|0|0|0|0|0|0|0|6.4|9.1|||||||4.5|5.8|7.3|||||||||||||||||||||||||||||||||"12297329"|"35124843"
"2C"||"C"||||99|||183|||||0|0|0|0|0|0|55|100|100|45|100|100|25|50|75|5|15|30|70|78.5|100||3.2|||12.4|||20.6|||27.1|||15.2||0|16.5|29|||||||0|5|15||||0|0.5|1||||1.3|1.4|1.5|||||1.46|||42|92|141|0.04|0.09|0.13||18.5|||12.7|||3.8|||45||0|1.5|2.9|0|7|14|0|0|0|0|0|0|".24"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|0|2.7|8.1|||||||4.5|5.8|7.3|||||||||||||||||||||||||||||||||"12297329"|"35124844"
"H1"||"H"||1||0|||30|||||0|0|0|0|0|0|85|100|100|75|100|100|45|90|95|25|75|80|15|32.1|50||2.9|||4|||5.4|||9.9|||9.9||50|55.9|80|||||||0|12|17||||2|6|10||||1.1|1.25|1.4|||||1.31|||4|23|42|0.12|0.18|0.24|||||28.4|||13.1|||48||0|1.5|2.9|0|12.5|25|0|2|4|0|0|1|".32"|".32"|0|0|0|0|0|0|0|0|0|0|0|0|0|6.7|9.5|||||||4.5|5.6|7.3|||||||||||||||||||||||||||||||||"12297329"|"35124845"
"H1"||"O"||1||0|||18|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|85|95|100|10|70|100|||||||||||||||||30|||||||||10|||||70|90|100||||0.1|0.2|0.3|||||||1.5|1.4|21.7|42|0.2|0.35|0.5||||40|80|100|5|30|50||||0|0|2.9|0|7|14|||||||||0|0|0|0|0|0|0|0|0|0|0|0||||20.9|51.3|81.5||||3.5|5.2|5.5|3.5|4.8|5.5||||||||||||||||||||||||||||||"12297330"|"35124846"
"H2"||"O"||2||18|||56|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|85|95|100|10|70|100|||||||||||||||||30|||||||||10|||||70|90|100||||0.1|0.2|0.3|||||||1.5|1.4|21.7|42|0.2|0.5|0.65||||40|80|100|5|30|50||||0|0|2.9|0|7|14|||||||||0|0|0|0|0|0|0|0|0|0|0|0||||20.9|51.3|107.7||||3.5|5.4|6|3.5|4.8|6||||||||||||||||||||||||||||||"12297330"|"35124847"
"H3"||"O"||3||56|||213|||||0|0|0|0|0|0|100|100|100|100|100|100|90|95|100|85|95|100|10|70|100|||||||||||||||||30|||||||||10|||||70|90|100||||0.1|0.2|0.3|||||||1.5|1.4|21.7|42|0.2|0.5|0.65||||40|80|100|5|30|50||||0|0|2.9|0|7|14|||||||||0|0|0|0|0|0|0|0|0|0|0|0||||36.4|67.8|142.2||||4.5|5.4|6.5|4.5|5.3|6.5||||||||||||||||||||||||||||||"12297330"|"35124848"
"BC"||"BC"||||43|||81|||||0|0|0|0|0|1|85|100|100|70|95|100|40|55|80|5|5|30|86|96.5|100||0.7|||13.2|||37.4|||38|||7.2||0|1.5|14|||||||0|2|10||||0|0|0.2||||1.2|1.35|1.5|||||1.41|||141|180|705|0.03|0.05|0.1||10.4|||6.1|||1.2|||45||0|1.5|2.9|0|7|14|0|0|0|0|0|0|".05"|".05"|0|0|0|0|0|0|0|0|0|0|0|0||||0|0.4|3||||4.5|5.2|6|||||||||||||||||||||||||||||||||"12297348"|"35124856"
"E"||"E"||||5|||8|||||0|0|0|0|0|0|95|100|100|92|100|100|45|65|80|5|20|35|70|78.5|91||3.2|||12.4|||20.6|||27.1|||15.2||0|16.5|29|||||||0|5|15||||0|1|4||||1|1.15|1.3|||||1.2|||42|92|141|0.06|0.09|0.12||18.3|||12.5|||3.7|||53||0|1.5|2.9|0|7|14|0|0|0|0|0|0|".17"|".17"|0|0|0|0|0|0|0|0|0|0|0|0||||0|2.9|15.9||||3.6|4.8|6|||||||||||||||||||||||||||||||||"12297348"|"35124857"
"H3"||"H"||3||8|||23|||||0|0|0|0|0|0|95|100|100|92|100|100|45|65|80|5|20|35|70|78.5|100||3.2|||12.4|||20.6|||27.1|||15.2||0|16.5|29|||||||0|5|15||||1|2|5||||1|1.15|1.3|||||1.2|||42|92|141|0.08|0.12|0.16||19.7|||14.1|||4.8|||53||0|1.5|2.9|15|17.5|20|0|2|4|0|0|0|".20"|".20"|0|0|0|0|0|0|0|0|0|0|0|0||||0.2|4.2|10.1||||4.5|5|6|||||||||||||||||||||||||||||||||"12297348"|"35124858"
