"A-4"|"No "|"35125765"|"57414800"
"A-2-4"|"Yes"|"35125765"|"57414801"
"A-2"|"No "|"35125764"|"57414388"
"A-4"|"No "|"35125764"|"57414389"
"A-2-4"|"Yes"|"35125764"|"57414390"
"A-4"|"No "|"35125763"|"57414796"
"A-2"|"No "|"35125763"|"57414797"
"A-2-4"|"Yes"|"35125763"|"57414798"
"A-2"|"No "|"35125761"|"57414923"
"A-4"|"No "|"35125761"|"57414924"
"A-2-4"|"Yes"|"35125761"|"57414925"
"A-2"|"No "|"35125760"|"57414391"
"A-4"|"No "|"35125760"|"57414392"
"A-2-4"|"Yes"|"35125760"|"57414393"
"A-8"|"Yes"|"35125759"|"57414631"
"A-2"|"No "|"35125758"|"57414623"
"A-4"|"No "|"35125758"|"57414624"
"A-2-4"|"Yes"|"35125758"|"57414625"
"A-4"|"Yes"|"35125757"|"57414794"
"A-2"|"No "|"35125757"|"57414795"
"A-4"|"Yes"|"35125756"|"57414792"
"A-2"|"No "|"35125756"|"57414793"
"A-2"|"No "|"35125755"|"57414385"
"A-4"|"No "|"35125755"|"57414386"
"A-2-4"|"Yes"|"35125755"|"57414387"
"A-2"|"No "|"35125754"|"57414383"
"A-4"|"Yes"|"35125754"|"57414384"
"A-2"|"No "|"35125753"|"57414621"
"A-4"|"Yes"|"35125753"|"57414622"
"A-8"|"Yes"|"35125752"|"57414630"
"A-2"|"No "|"35125751"|"57414626"
"A-2-4"|"Yes"|"35125751"|"57414627"
"A-1-b"|"No "|"35125751"|"57414628"
"A-1"|"No "|"35125751"|"57414629"
"A-1"|"No "|"35125750"|"57414233"
"A-2"|"Yes"|"35125750"|"57414234"
"A-4"|"No "|"35125750"|"57414235"
"A-3"|"No "|"35125749"|"57414470"
"A-1"|"Yes"|"35125749"|"57414471"
"A-2"|"No "|"35125749"|"57414472"
"A-8"|"Yes"|"35125748"|"57414469"
"A-1"|"Yes"|"35125747"|"57414466"
"A-2"|"No "|"35125747"|"57414467"
"A-4"|"No "|"35125747"|"57414468"
"A-1"|"Yes"|"35125746"|"57414463"
"A-2"|"No "|"35125746"|"57414464"
"A-4"|"No "|"35125746"|"57414465"
"A-3"|"No "|"35125745"|"57414230"
"A-1"|"Yes"|"35125745"|"57414231"
"A-2"|"No "|"35125745"|"57414232"
"A-8"|"Yes"|"35125744"|"57413970"
"A-3"|"No "|"35125743"|"57414227"
"A-1"|"Yes"|"35125743"|"57414228"
"A-2"|"No "|"35125743"|"57414229"
"A-8"|"Yes"|"35125742"|"57413969"
"A-4"|"Yes"|"35125741"|"57414087"
"A-2"|"No "|"35125741"|"57414088"
"A-8"|"Yes"|"35125740"|"57414086"
"A-8"|"Yes"|"35125738"|"57414085"
"A-2"|"Yes"|"35125737"|"57413967"
"A-4"|"No "|"35125737"|"57413968"
"A-2"|"No "|"35125736"|"57414224"
"A-4"|"No "|"35125736"|"57414225"
"A-1-b"|"Yes"|"35125736"|"57414226"
"A-8"|"Yes"|"35125735"|"57413966"
"A-4"|"No "|"35125734"|"57414222"
"A-2"|"Yes"|"35125734"|"57414223"
"A-8"|"Yes"|"35125733"|"57414462"
"A-2"|"Yes"|"35125732"|"57414459"
"A-4"|"No "|"35125732"|"57414460"
"A-1-b"|"No "|"35125732"|"57414461"
"A-8"|"Yes"|"35125730"|"57414458"
"A-2"|"No "|"35125729"|"57414455"
"A-3"|"Yes"|"35125729"|"57414456"
